,,,,,,,,Playing Time,,,,,,Expected,,,,,,,,,,Standard,,,,,,,Performance,,,,,,,
Rk,Player,xG,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
1,Robert Lewandowski,33.2,2021-2022,32,pl POL,Bayern Munich,de Bundesliga,34,"2,946",32.7,34,0,0,33.2,29.3,4.4,37.6,4.8,33.7,1.8,0.7,-1.4,0.19,156,0.19,0.4,75,48.1,13.6,3,35,3,38,30,5,5,0,FW
2,Robert Lewandowski,31.3,2020-2021,31,pl POL,Bayern Munich,de Bundesliga,29,"2,458",27.3,28,1,0,31.3,24.2,4.7,35.9,4.5,28.8,9.7,8.8,2.3,0.2,128,0.26,0.59,56,43.8,13.8,5,41,7,48,33,8,9,1,FW
3,Robert Lewandowski,30.7,2019-2020,30,pl POL,Bayern Munich,de Bundesliga,31,"2,759",30.7,31,0,0,30.7,26.8,6.6,37.3,7.1,33.5,3.3,2.2,-2.6,0.2,133,0.22,0.47,62,46.6,13.4,2,34,4,38,29,5,5,0,FW
4,Robert Lewandowski,30.7,2018-2019,29,pl POL,Bayern Munich,de Bundesliga,33,"2,957",32.9,33,0,1,30.7,27.5,8.9,39.6,6.9,36.4,-8.7,-8.5,-1.9,0.2,140,0.14,0.4,48,34.3,13.2,5,22,7,29,19,3,4,1,FW
5,Cristiano Ronaldo,28.6,2019-2020,34,pt POR,Juventus,it Serie A,33,"2,917",32.4,33,0,0,28.6,18.4,6.4,34.9,4.7,24.7,2.4,0.6,-1.4,0.09,195,0.1,0.28,67,34.4,19.5,19,31,5,36,19,12,13,1,FW
6,Erling Haaland,28.4,2022-2023,22,no NOR,Manchester City,eng Premier League,35,"2,769",30.8,33,2,1,28.4,23,5.3,33.6,3.1,28.3,7.6,6,2.7,0.2,116,0.25,0.55,53,45.7,12.6,0,36,8,44,29,7,7,0,FW
7,Kylian Mbappé,28,2018-2019,19,fr FRA,Paris S-G,fr Ligue 1,29,"2,343",26,24,5,0,28,26.4,5.4,33.4,5.4,31.8,5,5.6,1.6,0.21,123,0.26,0.47,68,55.3,14.4,1,33,7,40,32,1,2,1,FW
8,Robert Lewandowski,27.9,2017-2018,28,pl POL,Bayern Munich,de Bundesliga,30,"2,172",24.1,24,6,3,27.9,22.4,2.4,30.3,2.5,24.8,1.1,0.6,-0.4,0.19,120,0.19,0.48,48,40,13.9,5,29,2,31,23,6,7,1,FW
9,Cristiano Ronaldo,27.7,2020-2021,35,pt POR,Juventus,it Serie A,33,"2,802",31.1,31,2,1,27.7,21.4,3.8,31.5,3.2,25.2,1.3,1.6,-1.8,0.13,160,0.14,0.38,61,38.1,18.5,17,29,2,31,23,6,8,2,FW
10,Harry Kane,27.5,2023-2024,30,eng ENG,Bayern Munich,de Bundesliga,29,"2,569",28.5,29,0,0,27.5,25.2,5.7,33.3,5.3,30.9,4.5,3.8,1.3,0.19,130,0.22,0.54,54,41.5,13.9,3,32,7,39,29,3,3,0,FW
11,Ciro Immobile,27.2,2019-2020,29,it ITA,Lazio,it Serie A,37,"3,170",35.2,36,1,0,27.2,15.3,6.3,33.5,4.1,21.6,8.8,6.7,2.7,0.12,127,0.17,0.39,56,44.1,17.3,0,36,9,45,22,14,15,1,FW
12,Lionel Messi,27.1,2017-2018,30,ar ARG,Barcelona,es La Liga,36,"3,000",33.3,32,4,0,27.1,24,13.9,41.1,14.4,37.9,6.9,8,-1.9,0.12,193,0.17,0.35,91,47.2,19.7,48,34,12,46,32,2,4,2,FW
13,Folarin Balogun,26.6,2022-2023,21,us USA,Reims,fr Ligue 1,37,"2,999",33.3,34,3,0,26.6,21,3.8,30.4,3.3,24.8,-5.6,-6,-1.8,0.18,121,0.12,0.3,50,41.3,15.2,2,21,2,23,15,6,7,1,FW
14,Kylian Mbappé,26.3,2022-2023,23,fr FRA,Paris S-G,fr Ligue 1,34,"2,818",31.3,32,2,0,26.3,22.2,7.4,33.6,9.4,29.5,2.7,3.8,-2.4,0.15,144,0.18,0.36,73,50.7,15.9,1,29,5,34,26,3,5,2,FW
15,André Silva,25.6,2020-2021,24,pt POR,Eint Frankfurt,de Bundesliga,32,"2,760",30.7,32,0,0,25.6,20.1,4.7,30.3,4.9,24.8,2.4,0.9,2.3,0.19,110,0.19,0.4,53,48.2,13.3,3,28,7,35,21,7,7,0,FW
16,Cristiano Ronaldo,25.2,2017-2018,32,pt POR,Real Madrid,es La Liga,27,"2,285",25.4,27,0,0,25.2,22,5,30.2,4.9,27,0.8,1,0,0.13,174,0.13,0.32,72,41.4,15.7,15,26,5,31,23,3,4,1,FW
17,Harry Kane,24.8,2017-2018,24,eng ENG,Tottenham,eng Premier League,37,"3,076",34.2,35,2,0,24.8,22.4,2.7,27.4,2.4,25.1,5.2,5.6,-0.7,0.12,181,0.15,0.39,72,39.8,16.9,10,30,2,32,28,2,3,1,FW
18,Pierre-Emerick Aubameyang,24.6,2017-2018,28,ga GAB,2 Teams,2 Comps,29,"2,473",27.5,28,1,0,24.6,19.8,3.5,18.5,4.2,23.3,-1.6,-0.8,3.5,0.25,83,0.23,0.48,40,48.2,13.2,1,23,7,30,19,4,6,2,FW
19,Robert Lewandowski,24.3,2022-2023,33,pl POL,Barcelona,es La Liga,34,"2,847",31.6,33,1,0,24.3,23.5,6.3,30.6,5.3,29.8,-1.3,-0.5,0.7,0.18,134,0.17,0.41,56,41.8,13.8,5,23,7,30,23,0,1,1,FW
20,Alexandre Lacazette,24.2,2022-2023,31,fr FRA,Lyon,fr Ligue 1,35,"2,929",32.5,34,1,0,24.2,17.9,5.4,29.5,5.6,23.2,2.8,3.1,-0.4,0.17,107,0.2,0.45,47,43.9,14.4,8,27,5,32,21,6,8,2,FW
21,Mohamed Salah,24.1,2017-2018,25,eg EGY,Liverpool,eng Premier League,36,"2,907",32.3,34,2,0,24.1,22.6,7.5,31.6,6.1,30.1,7.9,8.4,2.5,0.16,142,0.22,0.48,64,45.1,15.3,4,32,10,42,31,1,2,1,FW
22,Kylian Mbappé,23.8,2021-2022,22,fr FRA,Paris S-G,fr Ligue 1,35,"3,023",33.6,34,1,0,23.8,20.7,12.6,36.5,9.1,33.4,4.2,3.3,4.4,0.14,143,0.17,0.41,59,41.3,16.9,3,28,17,45,24,4,4,0,FW
